Sales Order,Sales Above or Below Average,Sales (m),Sales,Draw Number,Draw Day,Draw Type,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Jackpot Winning Tickets,Total Winners (m),Total Winners,Number of Winners Above or Below Average
98,Below Average,35.627204,35627204,1301,Tuesday,Weekday (Tues),10-Mar-20,11  23  30  37  43  -  05  12,35.567254,35567254,0,No,No,0,1.392127,1392127,Below Average
99,Below Average,35.705734,35705734,1227,Tuesday,Weekday (Tues),25-Jun-19,6  26  27  34  46  -  01  09,40.597881,40597881,0,No,No,0,1.308704,1308704,Below Average
100,Below Average,35.780356,35780356,1027,Tuesday,Weekday (Tues),25-Jul-17,12  14  43  44  48  -  02  11,40.445365,40445365,0,No,No,0,1.274007,1274007,Below Average
101,Below Average,35.83541,35835410,1359,Tuesday,Weekday (Tues),29-Sep-20,4  14  16  41  44  -  11  12,15.5312,15531200,0,No,No,0,1.299124,1299124,Below Average
102,Below Average,36.012598,36012598,1097,Tuesday,Weekday (Tues),27-Mar-18,17  20  23  40  46  -  09  10,40.629122,40629122,0,No,No,0,1.389696,1389696,Below Average
103,Below Average,36.019661,36019661,1059,Tuesday,Weekday (Tues),14-Nov-17,14  16  39  40  41  -  08  10,34.502478,34502478,0,No,No,0,1.217911,1217911,Below Average
104,Below Average,36.039929,36039929,1089,Tuesday,Weekday (Tues),27-Feb-18,3  31  41  48  50  -  08  11,14.9566,14956600,0,No,No,0,1.198209,1198209,Below Average
105,Below Average,36.125595,36125595,1237,Tuesday,Weekday (Tues),30-Jul-19,15  20  23  27  40  -  03  06,33.364792,33364792,0,No,No,0,1.477652,1477652,Below Average
106,Below Average,36.185729,36185729,1035,Tuesday,Weekday (Tues),22-Aug-17,3  10  12  17  27  -  03  05,40.510685,40510685,1,Yes (1),Yes (Single Ticket),1,1.783982,1783982,Below Average
107,Below Average,36.294949,36294949,1115,Tuesday,Weekday (Tues),29-May-18,6  11  20  38  43  -  02  04,57.637756,57637756,0,No,No,0,1.41862,1418620,Below Average
108,Below Average,36.307641,36307641,1015,Tuesday,Weekday (Tues),13-Jun-17,3  12  22  27  49  -  04  11,33.506785,33506785,0,No,No,0,1.59142,1591420,Below Average
109,Below Average,36.374446,36374446,1297,Tuesday,Weekday (Tues),25-Feb-20,1  4  18  27  42  -  04  06,43.515336,43515336,0,No,No,0,1.620037,1620037,Below Average
110,Below Average,36.383922,36383922,1363,Tuesday,Weekday (Tues),13-Oct-20,5  14  38  41  46  -  01  10,36.618665,36618665,0,No,No,0,1.227145,1227145,Below Average
111,Below Average,36.419591,36419591,1353,Tuesday,Weekday (Tues),08-Sep-20,2  9  31  35  41  -  09  12,24.534097,24534097,0,No,No,0,1.256217,1256217,Below Average
112,Below Average,36.484727,36484727,1099,Tuesday,Weekday (Tues),03-Apr-18,3  8  16  40  43  -  05  08,59.156133,59156133,0,No,No,0,1.489813,1489813,Below Average
113,Below Average,36.532667,36532667,957,Tuesday,Weekday (Tues),22-Nov-16,5  10  33  34  47  -  02  10,40.546633,40546633,0,No,No,0,1.425468,1425468,Below Average
114,Below Average,36.592774,36592774,1219,Tuesday,Weekday (Tues),28-May-19,7  19  20  28  29  -  01  05,28.837305,28837305,2,Yes (2),Yes (Multiple Tickets),2+,1.699581,1699581,Below Average
115,Below Average,36.714653,36714653,1343,Tuesday,Weekday (Tues),04-Aug-20,1  2  5  15  42  -  05  08,44.373299,44373299,0,No,No,0,1.537547,1537547,Below Average
116,Below Average,36.750157,36750157,981,Tuesday,Weekday (Tues),14-Feb-17,2  10  24  40  44  -  03  10,19.987961,19987961,2,Yes (2),Yes (Multiple Tickets),2+,1.512442,1512442,Below Average
117,Below Average,36.789053,36789053,1179,Tuesday,Weekday (Tues),08-Jan-19,3  19  22  31  32  -  02  11,23.253235,23253235,0,No,No,0,1.467905,1467905,Below Average
118,Below Average,36.870375,36870375,1147,Tuesday,Weekday (Tues),18-Sep-18,3  8  10  32  45  -  04  12,40.651934,40651934,0,No,No,0,1.454332,1454332,Below Average
119,Below Average,36.87215,36872150,1075,Tuesday,Weekday (Tues),09-Jan-18,6  12  15  38  49  -  02  09,33.484288,33484288,0,No,No,0,1.484442,1484442,Below Average
120,Below Average,36.98929,36989290,1339,Tuesday,Weekday (Tues),21-Jul-20,14  15  24  29  42  -  02  04,44.865863,44865863,1,Yes (1),Yes (Single Ticket),1,1.448392,1448392,Below Average
121,Below Average,37.038561,37038561,971,Tuesday,Weekday (Tues),10-Jan-17,2  11  29  35  44  -  04  09,40.25965,40259650,0,No,No,0,1.511105,1511105,Below Average
122,Below Average,37.20127,37201270,1143,Tuesday,Weekday (Tues),04-Sep-18,5  14  28  30  47  -  04  11,40.979973,40979973,1,Yes (1),Yes (Single Ticket),1,1.456073,1456073,Below Average
123,Below Average,37.221319,37221319,1041,Tuesday,Weekday (Tues),12-Sep-17,10  17  27  29  35  -  04  11,33.717075,33717075,0,No,No,0,1.591627,1591627,Below Average
124,Below Average,37.430522,37430522,1259,Tuesday,Weekday (Tues),15-Oct-19,3  28  31  32  34  -  04  05,22.772993,22772993,0,No,No,0,1.410205,1410205,Below Average
125,Below Average,37.552202,37552202,1277,Tuesday,Weekday (Tues),17-Dec-19,1  7  12  25  49  -  06  09,41.621418,41621418,1,Yes (1),Yes (Single Ticket),1,1.751197,1751197,Below Average
126,Below Average,37.716154,37716154,1017,Tuesday,Weekday (Tues),20-Jun-17,11  18  26  43  44  -  08  10,52.594374,52594374,0,No,No,0,1.469998,1469998,Below Average
127,Below Average,37.736184,37736184,1133,Tuesday,Weekday (Tues),31-Jul-18,20  25  34  42  45  -  06  11,50.637585,50637585,0,No,No,0,1.315082,1315082,Below Average
128,Below Average,37.908724,37908724,1203,Tuesday,Weekday (Tues),02-Apr-19,2  9  16  26  36  -  06  07,50.833887,50833887,0,No,No,0,1.569587,1569587,Below Average
129,Below Average,37.990618,37990618,1169,Tuesday,Weekday (Tues),04-Dec-18,19  20  21  42  45  -  08  09,51.79999,51799990,0,No,No,0,1.406668,1406668,Below Average
130,Below Average,38.076355,38076355,1127,Tuesday,Weekday (Tues),10-Jul-18,3  8  26  33  45  -  07  10,57.975368,57975368,1,Yes (1),Yes (Single Ticket),1,1.519567,1519567,Below Average
131,Below Average,38.118526,38118526,1273,Tuesday,Weekday (Tues),03-Dec-19,18  31  32  38  48  -  04  12,40.957697,40957697,1,Yes (1),Yes (Single Ticket),1,1.367876,1367876,Below Average
132,Below Average,38.139517,38139517,1049,Tuesday,Weekday (Tues),10-Oct-17,4  21  34  36  37  -  03  06,15.2099,15209900,0,No,No,0,1.351736,1351736,Below Average
133,Below Average,38.172573,38172573,953,Tuesday,Weekday (Tues),08-Nov-16,5  9  47  49  50  -  08  09,35.072281,35072281,1,Yes (1),Yes (Single Ticket),1,1.436674,1436674,Below Average
134,Below Average,38.25864,38258640,1371,Tuesday,Weekday (Tues),10-Nov-20,3  19  29  32  38  -  05  12,45.088804,45088804,0,No,No,0,1.49607,1496070,Below Average
135,Below Average,38.276455,38276455,1051,Tuesday,Weekday (Tues),17-Oct-17,13  17  19  26  36  -  02  03,37.871775,37871775,0,No,No,0,1.658729,1658729,Below Average
