Draw Number,Sales for,Draw Day,Time,Balls,Jackpot Size (m),Jackpot Size,Draw Sales (m),Draw Sales,Sales Above or Below Average,Jackpot Winners,Jackpot Won (with num),Total Winners,Total Winners (thousands),Number of Winners Above or Below Average
2480,Saturdays,Saturday,28-Sep-19,2  19  21  23  29  42  -  26,3.8,3800000,21,21000000,Above,0,No,171168,171.168,Above
2479,Wednesdays,Wednesday,25-Sep-19,3  4  16  39  43  52  -  47,12.907599,12907599,19.036344,19036344,Below,0,No,93863,93.863,Below
2478,Saturdays,Saturday,21-Sep-19,18  23  32  33  34  41  -  54,11.043941,11043941,23.81618,23816180,Above,0,No,125481,125.481,Above
2477,Wednesdays,Wednesday,18-Sep-19,1  25  28  34  39  57  -  50,8.712337,8712337,14.69047,14690470,Below,0,No,63438,63.438,Below
2476,Saturdays,Saturday,14-Sep-19,6  10  14  19  26  43  -  28,7.27414,7274140,22.07143,22071430,Above,0,No,179885,179.885,Above
2475,Wednesdays,Wednesday,11-Sep-19,4  9  26  35  38  53  -  30,5.113347,5113347,13.415188,13415188,Below,0,No,69871,69.871,Below
2474,Saturdays,Saturday,07-Sep-19,3  13  27  30  32  37  -  8,3.8,3800000,21,21000000,Above,0,No,143373,143.373,Above
2473,Wednesdays,Wednesday,04-Sep-19,11  13  32  40  45  49  -  39,12.852503,12852503,18.321584,18321584,Below,0,No,98556,98.556,Below
2472,Saturdays,Saturday,31-Aug-19,5  10  16  26  41  58  -  15,11.05882,11058820,23.723228,23723228,Above,0,No,133102,133.102,Above
2471,Wednesdays,Wednesday,28-Aug-19,1  40  41  49  52  57  -  43,8.736316,8736316,14.058028,14058028,Below,0,No,49746,49.746,Below
2470,Saturdays,Saturday,24-Aug-19,27  36  39  45  46  55  -  38,7.360035,7360035,23.124914,23124914,Above,0,No,99773,99.773,Below
2469,Wednesdays,Wednesday,21-Aug-19,11  14  26  51  53  58  -  30,5.096106,5096106,13.23908,13239080,Below,0,No,49835,49.835,Below
2468,Saturdays,Saturday,17-Aug-19,6  9  10  41  46  58  -  45,3.8,3800000,21,21000000,Above,0,No,106366,106.366,Above
2467,Wednesdays,Wednesday,14-Aug-19,14  16  24  28  30  53  -  23,12.675909,12675909,18.535464,18535464,Below,0,No,102820,102.82,Above
2466,Saturdays,Saturday,10-Aug-19,5  8  9  17  23  29  -  49,10.861287,10861287,23.01761,23017610,Above,0,No,255064,255.064,Above
2465,Wednesdays,Wednesday,07-Aug-19,7  11  36  44  52  58  -  31,8.607863,8607863,14.30004,14300040,Below,0,No,74150,74.15,Below
2464,Saturdays,Saturday,03-Aug-19,8  30  34  44  45  57  -  31,7.207889,7207889,21.832554,21832554,Above,0,No,96256,96.256,Below
2463,Wednesdays,Wednesday,31-Jul-19,9  18  20  42  43  46  -  30,5.070482,5070482,12.977344,12977344,Below,0,No,72033,72.033,Below
2462,Saturdays,Saturday,27-Jul-19,14  19  30  45  48  58  -  3,3.8,3800000,21,21000000,Above,0,No,94196,94.196,Below
2461,Wednesdays,Wednesday,24-Jul-19,2  4  17  28  37  45  -  22,5.067046,5067046,12.942248,12942248,Below,1,Yes (1),92388,92.388,Below
2460,Saturdays,Saturday,20-Jul-19,14  18  23  28  36  37  -  32,3.8,3800000,21,21000000,Above,0,No,136865,136.865,Above
2459,Wednesdays,Wednesday,17-Jul-19,5  8  40  41  43  45  -  23,12.500333,12500333,17.86812,17868120,Below,0,No,98866,98.866,Below
2458,Saturdays,Saturday,13-Jul-19,18  25  29  32  35  58  -  12,10.751044,10751044,22.868406,22868406,Above,0,No,105291,105.291,Above
2457,Wednesdays,Wednesday,10-Jul-19,4  10  11  17  53  54  -  6,8.512227,8512227,13.800786,13800786,Below,0,No,77349,77.349,Below
2456,Saturdays,Saturday,06-Jul-19,24  30  44  50  56  57  -  9,7.16113,7161130,21.376354,21376354,Above,0,No,73675,73.675,Below
2455,Wednesdays,Wednesday,03-Jul-19,10  20  27  29  38  52  -  57,5.068385,5068385,12.955924,12955924,Below,0,No,65972,65.972,Below
2454,Saturdays,Saturday,29-Jun-19,11  32  43  44  47  52  -  27,3.8,3800000,21,21000000,Above,0,No,100710,100.71,Below
2453,Wednesdays,Wednesday,26-Jun-19,5  7  9  24  32  44  -  38,12.49721,12497210,17.778712,17778712,Below,0,No,147780,147.78,Above
2452,Saturdays,Saturday,22-Jun-19,6  9  17  32  44  57  -  11,10.756674,10756674,22.917712,22917712,Above,0,No,140317,140.317,Above
2451,Wednesdays,Wednesday,19-Jun-19,22  26  31  39  47  55  -  35,8.51303,8513030,13.879744,13879744,Below,0,No,62488,62.488,Below
2450,Saturdays,Saturday,15-Jun-19,7  40  42  47  52  54  -  29,7.154203,7154203,21.45902,21459020,Above,0,No,81897,81.897,Below
2449,Wednesdays,Wednesday,12-Jun-19,6  16  34  36  37  53  -  50,5.053365,5053365,12.802502,12802502,Below,0,No,55828,55.828,Below
2448,Saturdays,Saturday,08-Jun-19,12  13  22  37  42  55  -  43,3.8,3800000,21,21000000,Above,0,No,107410,107.41,Above
2447,Wednesdays,Wednesday,05-Jun-19,11  20  23  32  33  56  -  25,2,2000000,12.7,12700000,Below,1,Yes (1),59512,59.512,Below
2446,Saturdays,Saturday,01-Jun-19,8  26  36  39  40  47  -  42,3.8,3800000,21,21000000,Above,1,Yes (1),105235,105.235,Above
2445,Wednesdays,Wednesday,29-May-19,3  15  27  32  46  53  -  57,2,2000000,12.7,12700000,Below,1,Yes (1),61919,61.919,Below
2444,Saturdays,Saturday,25-May-19,5  9  26  35  43  54  -  24,4.085154,4085154,21.298816,21298816,Above,1,Yes (1),115799,115.799,Above
2443,Wednesdays,Wednesday,22-May-19,7  27  31  36  37  50  -  18,2,2000000,12.7,12700000,Below,0,No,64123,64.123,Below
2442,Saturdays,Saturday,18-May-19,7  22  23  26  31  54  -  3,11.708252,11708252,24.716374,24716374,Above,0,No,153007,153.007,Above
2441,Wednesdays,Wednesday,15-May-19,8  11  18  39  44  50  -  23,9.288519,9288519,14.58003,14580030,Below,0,No,84304,84.304,Below
2440,Saturdays,Saturday,11-May-19,13  14  19  45  49  55  -  24,7.861134,7861134,22.519766,22519766,Above,0,No,104108,104.108,Above
2439,Wednesdays,Wednesday,08-May-19,16  19  31  35  45  56  -  59,5.656449,5656449,12.998856,12998856,Below,0,No,57843,57.843,Below
2438,Saturdays,Saturday,04-May-19,16  17  35  39  40  55  -  41,4.383861,4383861,24.34996,24349960,Above,0,No,101838,101.838,Above
2437,Wednesdays,Wednesday,01-May-19,10  12  23  29  35  57  -  9,2,2000000,12.7,12700000,Below,0,No,73439,73.439,Below
2436,Saturdays,Saturday,27-Apr-19,1  7  26  34  52  53  -  10,11.396192,11396192,24.843392,24843392,Above,0,No,110356,110.356,Above
2435,Wednesdays,Wednesday,24-Apr-19,22  29  35  41  43  51  -  42,8.964024,8964024,14.635934,14635934,Below,0,No,60820,60.82,Below
2434,Saturdays,Saturday,20-Apr-19,7  8  11  17  34  54  -  4,7.531166,7531166,21.984412,21984412,Above,0,No,154166,154.166,Above
2433,Wednesdays,Wednesday,17-Apr-19,8  23  28  42  43  51  -  52,5.378892,5378892,13.097354,13097354,Below,0,No,69451,69.451,Below
2432,Saturdays,Saturday,13-Apr-19,4  10  15  24  37  38  -  30,4.096661,4096661,21.416354,21416354,Above,0,No,143212,143.212,Above
2431,Wednesdays,Wednesday,10-Apr-19,20  22  36  42  48  49  -  30,2,2000000,12.7,12700000,Below,0,No,63420,63.42,Below
2430,Saturdays,Saturday,06-Apr-19,5  8  22  33  36  43  -  21,11.39999,11399990,24.376722,24376722,Above,1,Yes (1),158525,158.525,Above
2429,Wednesdays,Wednesday,03-Apr-19,5  9  17  26  35  52  -  44,9.013509,9013509,14.396476,14396476,Below,0,No,94237,94.237,Below
2428,Saturdays,Saturday,30-Mar-19,3  27  35  45  54  55  -  24,7.604094,7604094,22.604566,22604566,Above,0,No,95500,95.5,Below
2427,Wednesdays,Wednesday,27-Mar-19,13  18  25  35  39  50  -  21,5.391107,5391107,12.984638,12984638,Below,0,No,58902,58.902,Below
2426,Saturdays,Saturday,23-Mar-19,6  26  30  50  52  59  -  27,4.119911,4119911,21.65384,21653840,Above,0,No,79748,79.748,Below
2425,Wednesdays,Wednesday,20-Mar-19,2  19  35  53  56  58  -  12,2,2000000,12.7,12700000,Below,0,No,44987,44.987,Below
2424,Saturdays,Saturday,16-Mar-19,6  26  32  37  42  59  -  38,3.8,3800000,21,21000000,Above,1,Yes (1),100000,100,Below
2423,Wednesdays,Wednesday,13-Mar-19,1  11  29  40  46  48  -  17,12.984966,12984966,17.69144,17691440,Below,0,No,96540,96.54,Below
2422,Saturdays,Saturday,09-Mar-19,22  27  35  40  46  52  -  2,11.252974,11252974,24.274362,24274362,Above,0,No,102163,102.163,Above
2421,Wednesdays,Wednesday,06-Mar-19,2  12  15  43  46  53  -  17,8.876514,8876514,15.292574,15292574,Below,0,No,73819,73.819,Below
