Sales Order,Sales Above or Below Average,Draw Sales (m),Draw Sales,Draw Number,Draw Day,Sales for,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Total Winners (ths),Total Winners,Number of Winners Above or Below Average
137,Below Average,13.552854,13552854,2293,Wednesday,Weekday (Wed),13-Dec-17,6  14  23  24  43  58  -  40,14.949598,14949598,0,No,No,73.44,73440,Below Average
138,Below Average,13.56093,13560930,2201,Wednesday,Weekday (Wed),25-Jan-17,4  9  20  23  37  53  -  39,5.552469,5552469,0,No,No,77.153,77153,Below Average
139,Below Average,13.5648,13564800,2575,Wednesday,Weekday (Wed),26-Aug-20,4  8  24  27  31  39  -  45,5.316218,5316218,0,No,No,105.427,105427,Above Average
140,Below Average,13.604306,13604306,2227,Wednesday,Weekday (Wed),26-Apr-17,12  15  30  43  47  59  -  41,6.947106,6947106,0,No,No,61.329,61329,Below Average
141,Below Average,13.605908,13605908,2237,Wednesday,Weekday (Wed),31-May-17,18  23  28  52  56  59  -  36,5.558072,5558072,0,No,No,49.124,49124,Below Average
142,Below Average,13.613936,13613936,2345,Wednesday,Weekday (Wed),13-Jun-18,5  15  22  33  38  45  -  11,10.785901,10785901,0,No,No,90.068,90068,Below Average
143,Below Average,13.626376,13626376,2281,Wednesday,Weekday (Wed),01-Nov-17,13  14  18  19  21  36  -  53,6.867823,6867823,0,No,No,96.455,96455,Below Average
144,Below Average,13.630694,13630694,2581,Wednesday,Weekday (Wed),16-Sep-20,16  20  29  33  47  49  -  45,5.386435,5386435,0,No,No,72.479,72479,Below Average
145,Below Average,13.656506,13656506,2195,Wednesday,Weekday (Wed),04-Jan-17,10  29  37  42  48  49  -  32,2.024754,2024754,0,No,No,71.918,71918,Below Average
146,Below Average,13.680828,13680828,2567,Wednesday,Weekday (Wed),29-Jul-20,1  24  39  46  49  52  -  51,5.139353,5139353,1,Yes (1),Yes (Single Ticket),57.581,57581,Below Average
147,Below Average,13.682198,13682198,2179,Wednesday,Weekday (Wed),09-Nov-16,12  13  30  34  39  52  -  38,2.075555,2075555,0,No,No,57.535,57535,Below Average
148,Below Average,13.726884,13726884,2419,Wednesday,Weekday (Wed),27-Feb-19,19  20  22  31  51  54  -  16,5.143862,5143862,0,No,No,57.066,57066,Below Average
149,Below Average,13.73664,13736640,2251,Wednesday,Weekday (Wed),19-Jul-17,2  6  14  16  25  36  -  42,9.855934,9855934,0,No,No,112.198,112198,Above Average
150,Below Average,13.73831,13738310,2291,Wednesday,Weekday (Wed),06-Dec-17,3  19  24  31  50  52  -  16,10.999536,10999536,0,No,No,66.16,66160,Below Average
151,Below Average,13.760122,13760122,2561,Wednesday,Weekday (Wed),08-Jul-20,5  18  22  31  50  59  -  30,5.423577,5423577,0,No,No,66.159,66159,Below Average
152,Below Average,13.76116,13761160,2353,Wednesday,Weekday (Wed),11-Jul-18,8  11  17  25  33  46  -  13,10.596472,10596472,1,Yes (1),Yes (Single Ticket),109.645,109645,Above Average
153,Below Average,13.765098,13765098,2523,Wednesday,Weekday (Wed),26-Feb-20,19  20  27  49  52  57  -  4,5.446003,5446003,0,No,No,55.801,55801,Below Average
154,Below Average,13.770726,13770726,2571,Wednesday,Weekday (Wed),12-Aug-20,6  8  27  31  37  51  -  20,8.52692,8526920,0,No,No,74.79,74790,Below Average
155,Below Average,13.774026,13774026,2369,Wednesday,Weekday (Wed),05-Sep-18,12  18  22  23  48  59  -  47,9.394412,9394412,0,No,No,75.586,75586,Below Average
156,Below Average,13.791226,13791226,2599,Wednesday,Weekday (Wed),18-Nov-20,18  26  27  28  41  54  -  45,5.47908,5479080,0,No,No,67.685,67685,Below Average
157,Below Average,13.800786,13800786,2457,Wednesday,Weekday (Wed),10-Jul-19,4  10  11  17  53  54  -  6,8.512227,8512227,0,No,No,77.349,77349,Below Average
158,Below Average,13.823708,13823708,2301,Wednesday,Weekday (Wed),10-Jan-18,6  11  27  29  40  55  -  45,9.933511,9933511,0,No,No,83.374,83374,Below Average
159,Below Average,13.846502,13846502,2257,Wednesday,Weekday (Wed),09-Aug-17,5  9  25  34  51  59  -  44,11.39881,11398810,0,No,No,62.368,62368,Below Average
160,Below Average,13.866374,13866374,2553,Wednesday,Weekday (Wed),10-Jun-20,20  26  50  51  55  57  -  40,5.157518,5157518,0,No,No,46.5,46500,Below Average
161,Below Average,13.879744,13879744,2451,Wednesday,Weekday (Wed),19-Jun-19,22  26  31  39  47  55  -  35,8.51303,8513030,0,No,No,62.488,62488,Below Average
