Jackpot Size,Draw Sales,Jackpot Winners,Runners Up,Tier 1,Tier 2,Tier 3,Total Winners
9125517,17872522,0,0,47,2905,72784,75736
6915695,31185974,0,7,202,12314,242564,255087
2291890,15121098,0,0,36,2699,71087,73822
4337627,28603222,1,0,50,3554,87803,91408
15791929,20666692,1,0,49,3449,92752,96251
13156375,31746722,0,0,70,4841,133054,137965
8842605,17572406,0,0,113,6799,135673,142585
6677278,29394004,0,1,47,3582,93588,97218
2319221,15292400,0,0,19,2136,52804,54959
4307602,29053908,1,1,46,3438,84257,87743
14612465,19794894,1,0,43,2912,80068,83024
12110605,31934052,0,2,56,4482,123221,127761
7875986,17511450,0,2,67,4422,102008,106499
5279697,35610494,0,1,61,5059,136931,142052
